Title,Channel,URL
Robert Johnson- Crossroad,shogun coredump,https://www.youtube.com/watch?v=Yd60nI4sa9A
Cab Calloway - St. James Infirmary (1930 version),UbiquitousLazar,https://www.youtube.com/watch?v=s_XYweNu3oQ
Elvis Presley - Jailhouse Rock (Official Audio),Elvis Presley,https://www.youtube.com/watch?v=PpsUOOfb-vE
Great Balls of Fire-Jerry Lee Lewis-original song-1957,AK47bandit,https://www.youtube.com/watch?v=Jt0mg8Z09SY
Muddy Waters - Mannish Boy (Audio),MUDDYWATERSVEVO,https://www.youtube.com/watch?v=bSfqNEvykv0
The Penguins - Earth Angel,Oldies Zone,https://www.youtube.com/watch?v=VJcGi4-n_Yw
Everyday-Buddy Holly With Lyrics,TyAnnnn_,https://www.youtube.com/watch?v=kLBWkM0jzK0
Elvis Presley - (You're The) Devil in Disguise (Official Audio),Elvis Presley,https://www.youtube.com/watch?v=emjLXdsj6xA
Elvis Presley - All Shook Up (Official Audio),Elvis Presley,https://www.youtube.com/watch?v=23zLefwiii4
The Beach Boys - Don't Worry Baby,MorseMoose79,https://www.youtube.com/watch?v=3QCZ_bv9aLc
The Kinks - You Really Got Me (Official Audio),The Kinks,https://www.youtube.com/watch?v=fTTsY-oz6Go
Beach Boys - Barbara Ann,beralts,https://www.youtube.com/watch?v=vPRonG87eKw
The Kingsmen - Louie Louie,zazzaz99,https://www.youtube.com/watch?v=1RZJ4ESU52U
Beatles live - And I love her (1964),usuariojotaerre,https://www.youtube.com/watch?v=JjhsPs2fUT4
Little Deuce Coupe-The Beach Boys,A,https://www.youtube.com/watch?v=ZXFFLuoaMzM
[Deleted video],,https://www.youtube.com/watch?v=izzKUoxL11E
[Deleted video],,https://www.youtube.com/watch?v=Fk0sY_WiCpA
The Rolling Stones - (I Can't Get No) Satisfaction (Official Lyric Video),ABKCOVEVO,https://www.youtube.com/watch?v=nrIPxlFzDi0
Blowin' In The Wind -Bob Dylan - Lyrics,Tristan Rovan,https://www.youtube.com/watch?v=G58XWF6B3AA
The Who - My Generation,The Best Of - Home Of Classic Music,https://www.youtube.com/watch?v=qN5zw04WxCc
Herman's Hermits - No Milk Today,LuRo Romo,https://www.youtube.com/watch?v=LesWfbkJJlQ
The Mamas & the Papas - California Dreamin',PeaceFrogMan1,https://www.youtube.com/watch?v=qhZULM69DIw
Simon & Garfunkel - I Am A Rock,kylecrazyford,https://www.youtube.com/watch?v=JKlSVNxLB-A
