Title,Channel,URL
I Won't Hold You Back,TOTO,https://www.youtube.com/watch?v=rQysrhYnWHg
Be Near Me,ABC Martin Fry,https://www.youtube.com/watch?v=uBmkabWk6lk
Love Will Tear Us Apart,Joy Division,https://www.youtube.com/watch?v=OfbdN_cLGC8
Underneath Your Clothes,Shakira,https://www.youtube.com/watch?v=41z3FqQ5V2w
Bitter Sweet Symphony,The Verve,https://www.youtube.com/watch?v=Pn4g1atU_1k
Clocks,Coldplay,https://www.youtube.com/watch?v=8Xv_Hg8o1fw
Wait for You,Tor Erik Hermansen - Topic,https://www.youtube.com/watch?v=lUWu8vQQQ0k
Dinah-Moe Humm,Frank Zappa,https://www.youtube.com/watch?v=NQfe92oITWU
Bad Company (2009 Remaster),Bad Company,https://www.youtube.com/watch?v=YTg5Q8uStKc
Baby Dont Run Away (1982)  - George Harrison,aristacourt,https://www.youtube.com/watch?v=oXDAiIaTUrg
Radar Love,Golden Earring,https://www.youtube.com/watch?v=ckM51xoTC2U
Break Ya Neck,Busta Rhymes,https://www.youtube.com/watch?v=SlZMARdOgss
Dancing On My Own,Calum Scott,https://www.youtube.com/watch?v=tWeFNAE9oaA
Death of a Bachelor,Panic! At The Disco,https://www.youtube.com/watch?v=Fl2OvKxMA0s
Gimme a Pigfoot (And a Bottle of Beer),Nina Simone,https://www.youtube.com/watch?v=1ASQNZ6PiAU
You Really Got Me (2015 Remaster),Van Halen,https://www.youtube.com/watch?v=-Oh6hNFZ2KA
Fresh Eyes,Andy Grammer,https://www.youtube.com/watch?v=wgp1Fne7Pjo
She Used To Be Mine,sara bareilles,https://www.youtube.com/watch?v=UtpPr2G-MkU
Sunshine Of Your Love,Cream - Topic,https://www.youtube.com/watch?v=f3y8jf01UY8
Big Yellow Taxi,Joni Mitchell,https://www.youtube.com/watch?v=NhxZ8ok3Z2o
Reelin' In The Years,Steely Dan,https://www.youtube.com/watch?v=GaH25Sghoqc
Touch Me (New Stereo Mix),The Doors,https://www.youtube.com/watch?v=_U0H7py5n6w
Keep Yourself Alive (2011 Mix),Queen Official,https://www.youtube.com/watch?v=d4cNSgGMJQ4
The Weight,The Band,https://www.youtube.com/watch?v=osNFPbYbPSo
Just To See,Smokey Robinson,https://www.youtube.com/watch?v=WyqjQvdoU6Y
Running Away (Edit/Remastered),Maze - Topic,https://www.youtube.com/watch?v=oOtVjSQVXGw
Pumping Iron - Bombeo de Hierro - Everybody wants to live forever,javieraraujo1,https://www.youtube.com/watch?v=5uURisVguiU
The Spy,The Doors,https://www.youtube.com/watch?v=eyjZUR5-tdY
Wicked Game,Chris Isaak,https://www.youtube.com/watch?v=aid2vMbCNP8
Mona (I Need You Baby),The Rolling Stones,https://www.youtube.com/watch?v=fRTpyT1pbjA
Dance Turned Into a Romance,The Jones Girls - Topic,https://www.youtube.com/watch?v=ikoj60ZWwBg
Knockin' Boots,Julio Bashmore - Topic,https://www.youtube.com/watch?v=9fX1D78-eWw
Mornin',Al Jarreau,https://www.youtube.com/watch?v=6sr1pIPfxzo
When She Was My Girl,The Four Tops  - Topic,https://www.youtube.com/watch?v=FE9M9eT4-iI
Your Old Stand By,Mary Wells - Topic,https://www.youtube.com/watch?v=9ISbmJnhXro
Love Don't Love Nobody,The Spinners,https://www.youtube.com/watch?v=wEgI05BiLfU
We Gotta Get Out Of This Place,The Animals,https://www.youtube.com/watch?v=a-zqtEsc6aE
Without You,Harry Nilsson,https://www.youtube.com/watch?v=OpdFmZFge5g
Someone Saved My Life Tonight,Elton John,https://www.youtube.com/watch?v=A-2vN3YJ29k
Ringo Starr-Photograph,TomorrowNeverKnows24,https://www.youtube.com/watch?v=t6CMSuT98-E
That Smell,Lynyrd Skynyrd,https://www.youtube.com/watch?v=mtna3WkJw2w
House Of The Rising Sun,The Animals,https://www.youtube.com/watch?v=s_Kecv6eJNM
Wild Horses (2009 Mix),The Rolling Stones,https://www.youtube.com/watch?v=lJD2OtTaywo
Love Her Madly,The Doors,https://www.youtube.com/watch?v=5iqfXaGliq8
For Your Love,The Yardbirds - Topic,https://www.youtube.com/watch?v=1eONgGRzIE8
Go Home,Stevie Wonder,https://www.youtube.com/watch?v=OrmH0jXiAw0
What About Now,Daughtry,https://www.youtube.com/watch?v=Enwlpf4eqQY
[Private video],,https://www.youtube.com/watch?v=RirZwstXmX8
I Shoulda Loved Ya,Narada Michael Walden - Topic,https://www.youtube.com/watch?v=l_mNREFcYGs
One Of A Kind (Love Affair),The Spinners,https://www.youtube.com/watch?v=bfwBRw_fqgE
In Your House (Remastered Version),The Cure,https://www.youtube.com/watch?v=JNy_hCQTQVg
I Can't Give You Anything but Love,Naomis Devils,https://www.youtube.com/watch?v=w4itjEzMyJc
Flaming Ember - Westbound No 9,Ady Manifold,https://www.youtube.com/watch?v=FI9qm3tLk5Q
Feel like Makin' Love (2009 Remaster),Bad Company,https://www.youtube.com/watch?v=eN6EC1kTJlg
Whammer Jammer,The J. Geils Band - Topic,https://www.youtube.com/watch?v=BSs12nBLquc
Black Magic Woman / Gypsy Queen,Santana,https://www.youtube.com/watch?v=I_SOAdAxFfo
Chip Away The Stone,Aerosmith,https://www.youtube.com/watch?v=sbtGSxQFQus
Ride My See-Saw,The Moody Blues,https://www.youtube.com/watch?v=WKHm0pLrB2E
Have You Ever Seen The Rain,Creedence Clearwater Revival,https://www.youtube.com/watch?v=iyf0ZIh3SVo
Mind Blowing Decisions,Heatwave - Topic,https://www.youtube.com/watch?v=-Yu5hAHwqmU
